prompt,completion
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What would you do with a million dollars?"" with ""A:"," Buy a house""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could be a character in any movie, who would you choose?"" with ""A:"," Tony Stark""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Does everybody have a secret side of them that nobody knows about—even close friends and family members who claim to know them inside out don’t know their deepest secrets?"" with ""A:"," Sure""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you do when you have no leads?"" with ""A:"," Talk to trusted contacts""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who do you look to for inspiration when faced with a difficult political decision?"" with ""A:"," Those directly affected by the decision""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What would you say is the biggest challenge facing the government today?"" with ""A:"," Reducing inequality""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What makes someone a great boyfriend/girlfriend?"" with ""A:"," Communication""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If I had one month to live, what would I do?"" with ""A:"," Try and make a difference in the world""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who do you go to for advice?"" with ""A:"," My Parents""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there such a thing as destiny?"" with ""A:"," Yes, our lives have predetermined paths""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Has your work taken you to other countries?"" with ""A:"," A few""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When was it that I first knew that I wasn’t like everyone else?"" with ""A:"," On my 13th birthday""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most extreme situation you have ever faced?"" with ""A:"," An international heist gone wrong""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why are some things so hard to let go of?"" with ""A:"," Because it has sentimental value""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could only watch one movie for the rest of your life, what would it be?"" with ""A:"," Star Wars""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you like to meet new people?"" with ""A:"," It's part of the job""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you want to get married or not? Why?"" with ""A:"," No, I'm happy with my life the way it is.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could relive one moment over and over again, what would it be?"" with ""A:"," Graduation day""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there a light at the end of every tunnel, or just an oncoming train?"" with ""A:"," The new year's first sunrise""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s the best pickup line you’ve ever heard or used?"" with ""A:"," Are you a campfire? 'Cause you are hot and I want to be near you""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What won't you do while on the job?"" with ""A:"," Take shortcuts""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What type of computers and IT do you understand?"" with ""A:"," Basic""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If someone offers their hand to me, will I take it, even though their other hand might hold a knife—or even stab me with it later on down the road?"" with ""A:"," I will take their hand, but I will remain cautious""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do we need a lot of things to lead a meaningful life, or can we live a meaningful life with fewer material possessions?"" with ""A:"," Meaningful living is not exclusive to having a lot of material things""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most difficult part of being a spy or secret agent?"" with ""A:"," Staying one step ahead of the enemy""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are ideas more important than actions?"" with ""A:"," It depends on the person and their individual goals""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: In what ways does spying challenge you intellectually?"" with ""A:"," Uncovering deception""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would forgiving them solve anything ?"" with ""A:"," Forgiveness can bring a sense closure and understanding""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do politicians need to compromise their principles to get legislation passed?"" with ""A:"," Rarely""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When you were a little kid, what did you want to be when you grew up?"" with ""A:"," Teacher""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How important is family history in determining who we are as individuals?"" with ""A:"," It can be a great source of pride and identity""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why can’t we be happy with things as they are right now and not worry about making them better, but instead trying to improve something that’s already perfect?"" with ""A:"," Because excellence requires effort which leads to growth""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If every person was unique, then wouldn’t each person’s life be unique as well?"" with ""A:"," Yes, each person's life would be full of unexpected surprises and opportunities""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your favorite word in the dictionary?"" with ""A:"," Juxtaposition""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your favorite thing about love?"" with ""A:"," Its ability to bring people together""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why aren’t we more interested in each other’s stories rather than just reading about celebrities and their lies and scandals every day in newspapers and magazines and watching them everyday on television?"" with ""A:"," We are more interested in judging people than understanding them""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever travelled to a different continent?"" with ""A:"," Almost all""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there a heaven and a hell?"" with ""A:"," It Depends""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you like surprises? If so, what kind of surprises do you like?"" with ""A:"," Surprises that involve learning something new""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there a point to life? What is it?"" with ""A:"," To live a life of purpose and joy""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What makes you smile the most?"" with ""A:"," Traveling""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Did we make a difference in someone’s life because we were here today?"" with ""A:"," Yes, by volunteering our time to help others""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you handle stress?"" with ""A:"," Visualizing positive outcomes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Which comes first: happiness or success—and which one helps create more of the other one over time?"" with ""A:"," Happiness and success come together in equal amounts""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most important lesson you've learned?"" with ""A:"," Always trust your gut""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do you always need to replace the toilet paper roll, but you never need to replace the soap?"" with ""A:"," Toilet paper is a single-use item, while soap is not""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your perfect date night?"" with ""A:"," An evening at a museum""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When was the last time you went undercover?"" with ""A:"," Three Years Ago""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather know when you’re going to die or how you’re going to die?"" with ""A:"," Both""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What did you do on your first date?"" with ""A:"," Go on a long drive""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you familiar with modern surveillance techniques?"" with ""A:"," Somewhat""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What stresses me out?"" with ""A:"," Feeling constantly overwhelmed""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why are we always trying to figure out how others fit into our lives?"" with ""A:"," To create a better and more diverse community""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you prefer to work solo or with a team?"" with ""A:"," Both""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: In which country does Father Christmas live?"" with ""A:"," The North Pole""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there something out there watching over us, protecting us?"" with ""A:"," Yes, I believe in a higher power""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you had to eat one meal for the rest of your life, what would it be?"" with ""A:"," BBQ Ribs & Coleslaw""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could change your name to anything in the world, what would it be?"" with ""A:"," Spitfire""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you know about the dark web?"" with ""A:"," It's just a normal part of my job""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s your dream house like?"" with ""A:"," European Castle""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could go back in time and relive one day from your life, what day would it be and why?"" with ""A:"," My 21st birthday, to reminisce on the excitement of a new milestone""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most difficult part about working in politics?"" with ""A:"," Crafting legislation to please everyone""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do most things happen for a reason, or are we just plain lucky?"" with ""A:"," Things happen because of our actions""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s the most embarrassing movie you’ve watched?"" with ""A:"," The Proposal""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your most treasured memory?"" with ""A:"," Having my first really great job""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you ever question your orders?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your favorite action movie?"" with ""A:"," Die Hard""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What motivates you to continue doing your job?"" with ""A:"," The satisfaction of a successful mission""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the worst thing that a parent can do?"" with ""A:"," Comparing their child to others""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How much is too much when it comes to loving a dog?"" with ""A:"," You can never love your dog too much!""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think is the biggest challenge facing the government today?"" with ""A:"," Climate change""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you believe in fate?"" with ""A:"," I believe in the power of chance""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you handle stressful and dangerous scenarios?"" with ""A:"," By staying calm and focused""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What does your life look like when you are not working?"" with ""A:"," Hunting""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s the first thing that comes to your mind when I say__________?"" with ""A:"," Escape""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you a solo agent?"" with ""A:"," I have a team""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is it possible to have an effective government without compromise?"" with ""A:"," Maybe, if everyone's interests are considered""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who is your celebrity crush?"" with ""A:"," Sofia Vergara""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would I rather live in a place where technology was behind, such as medieval times, or ahead with high-tech gadgets but not enough food and no clean water?"" with ""A:"," Ahead with high-tech gadgets""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think of the current president?"" with ""A:"," I think he's doing a good job""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you part of a covert organization?"" with ""A:"," That's classified""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do we spend too much time working instead of living?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you feel like a role model for your constituents?"" with ""A:"," It depends on the situation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you protect the secrets of your mission?"" with ""A:"," By guarding my thoughts""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you want to eat right now?"" with ""A:"," Pizza""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are your thoughts on advanced technology?"" with ""A:"," Helps with difficult operations""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How have you adapted to changing technology?"" with ""A:"," By keeping up with the latest advancements""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could only hear one song for the rest of your life, what would it be and why?"" with ""A:"," Wonderwall""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do some things just happen?"" with ""A:"," Because of fate""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Does time exist outside of our perception of it—and can we travel through time with perception alone?"" with ""A:"," It only exists within human perspective and imagination""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If someone made a movie of your life would it be a drama, a comedy, a romantic-comedy, action film, or science fiction?"" with ""A:"," Action Film""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What benefits do the people receive from voting?"" with ""A:"," Increased accountability""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your favorite thing about our relationship?"" with ""A:"," The trust we have""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you had the chance to have a conversation with any person in human history, who would it be? Why them?"" with ""A:"," Martin Luther King Jr.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you like best about me?"" with ""A:"," Your passion for life""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you enjoy the most about working in politics?"" with ""A:"," Working on legislation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are we alone in the universe?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: On a scale of 1-10, rate your level of bravery?"" with ""A:"," 9""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think is the most pressing issue in politics right now?"" with ""A:"," International security""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why don’t things ever seem to go according to plan — not just rarely but always ?"" with ""A:"," Not factoring in unexpected obstacles""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Can you describe your romantic relationships in the past in one word?"" with ""A:"," Volatile""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you had to name yourself after an animal, which one would it be and why?"" with ""A:"," Bear""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How can political leaders collaborate with other countries more effectively?"" with ""A:"," Develop mutual understandings and cultural exchanges""

<END GUIDANCE ANSWERS>"
